timestamp,electricity_price,gas_price
2025-01-07 01:00:00+00:00,26.12,52.43023255813954
2025-01-07 02:00:00+00:00,8.66,52.43023255813954
2025-01-07 03:00:00+00:00,27.59,52.43023255813954
2025-01-07 04:00:00+00:00,42.75,52.43023255813954
2025-01-07 05:00:00+00:00,99.24,52.43023255813954
2025-01-07 06:00:00+00:00,102.53,52.43023255813954
2025-01-07 07:00:00+00:00,116.5,52.43023255813954
2025-01-07 08:00:00+00:00,119.43,52.43023255813954
2025-01-07 09:00:00+00:00,101.93,52.43023255813954
2025-01-07 10:00:00+00:00,97.82,52.43023255813954
2025-01-07 11:00:00+00:00,98.41,52.43023255813954
2025-01-07 12:00:00+00:00,111.7,52.43023255813954
2025-01-07 13:00:00+00:00,113.44,52.43023255813954
2025-01-07 14:00:00+00:00,120.57,52.43023255813954
2025-01-07 15:00:00+00:00,130.59,52.43023255813954
2025-01-07 16:00:00+00:00,109.79,52.43023255813954
2025-01-07 17:00:00+00:00,113.29,52.43023255813954
2025-01-07 18:00:00+00:00,105.87,52.43023255813954
2025-01-07 19:00:00+00:00,93.49,52.43023255813954
2025-01-07 20:00:00+00:00,82.88,52.43023255813954
2025-01-07 21:00:00+00:00,79.23,52.43023255813954
2025-01-07 22:00:00+00:00,50.24,52.43023255813954
2025-01-07 23:00:00+00:00,71.82,50.402325581395345
2025-01-08 00:00:00+00:00,65.79,50.402325581395345
2025-01-08 01:00:00+00:00,55.98,50.402325581395345
2025-01-08 02:00:00+00:00,53.09,50.402325581395345
2025-01-08 03:00:00+00:00,53.49,50.402325581395345
2025-01-08 04:00:00+00:00,79.18,50.402325581395345
2025-01-08 05:00:00+00:00,104.62,50.402325581395345
2025-01-08 06:00:00+00:00,116.17,50.402325581395345
2025-01-08 07:00:00+00:00,130.39,50.402325581395345
2025-01-08 08:00:00+00:00,108.64,50.402325581395345
2025-01-08 09:00:00+00:00,95.98,50.402325581395345
2025-01-08 10:00:00+00:00,97.07,50.402325581395345
2025-01-08 11:00:00+00:00,92.05,50.402325581395345
2025-01-08 12:00:00+00:00,107.34,50.402325581395345
2025-01-08 13:00:00+00:00,118.55,50.402325581395345
2025-01-08 14:00:00+00:00,135.85,50.402325581395345
2025-01-08 15:00:00+00:00,145.13,50.402325581395345
2025-01-08 16:00:00+00:00,154.57,50.402325581395345
2025-01-08 17:00:00+00:00,148.88,50.402325581395345
2025-01-08 18:00:00+00:00,148.38,50.402325581395345
2025-01-08 19:00:00+00:00,136.7,50.402325581395345
2025-01-08 20:00:00+00:00,127.24,50.402325581395345
2025-01-08 21:00:00+00:00,116.04,50.402325581395345
2025-01-08 22:00:00+00:00,104.4,50.402325581395345
2025-01-08 23:00:00+00:00,103.33,50.88139534883721
2025-01-09 00:00:00+00:00,102.4,50.88139534883721
2025-01-09 01:00:00+00:00,100.75,50.88139534883721
2025-01-09 02:00:00+00:00,98.12,50.88139534883721
2025-01-09 03:00:00+00:00,101.79,50.88139534883721
2025-01-09 04:00:00+00:00,105.61,50.88139534883721
2025-01-09 05:00:00+00:00,130.44,50.88139534883721
2025-01-09 06:00:00+00:00,147.64,50.88139534883721
2025-01-09 07:00:00+00:00,162.27,50.88139534883721
2025-01-09 08:00:00+00:00,153.95,50.88139534883721
2025-01-09 09:00:00+00:00,145.6,50.88139534883721
2025-01-09 10:00:00+00:00,138.22,50.88139534883721
2025-01-09 11:00:00+00:00,126.83,50.88139534883721
2025-01-09 12:00:00+00:00,127.51,50.88139534883721
2025-01-09 13:00:00+00:00,134.72,50.88139534883721
2025-01-09 14:00:00+00:00,134.72,50.88139534883721
2025-01-09 15:00:00+00:00,148.18,50.88139534883721
2025-01-09 16:00:00+00:00,129.68,50.88139534883721
2025-01-09 17:00:00+00:00,133.43,50.88139534883721
2025-01-09 18:00:00+00:00,123,50.88139534883721
2025-01-09 19:00:00+00:00,116.04,50.88139534883721
2025-01-09 20:00:00+00:00,102.08,50.88139534883721
